seed,p0,p1,p2,p3,avg
227,110,110,85,63,92.00
228,76,72,76,55,69.75
229,66,90,66,126,87.00
230,82,90,52,61,71.25
231,102,92,85,50,82.25
232,60,79,101,77,79.25
233,64,43,55,85,61.75
234,93,100,60,59,78.00
235,87,95,111,107,100.00
236,68,84,104,64,80.00
237,52,73,61,0,46.50
238,88,86,85,100,89.75
239,94,50,64,87,73.75
240,69,86,107,60,80.50
241,85,93,67,104,87.25
242,84,86,0,49,54.75
243,57,109,99,62,81.75
244,96,76,79,91,85.50
245,56,48,45,60,52.25
246,2,59,31,42,33.50
247,58,51,23,35,41.75
248,87,49,78,116,82.50
249,39,23,72,23,39.25
250,64,49,0,65,44.50
251,103,92,99,78,93.00
252,117,75,81,92,91.25
253,77,85,79,46,71.75
254,61,80,77,47,66.25
255,90,85,97,86,89.50
256,42,89,58,41,57.50
257,62,82,98,52,73.50
258,81,119,59,111,92.50
259,71,125,69,106,92.75
260,73,91,79,69,78.00
261,82,45,75,23,56.25
262,0,72,50,71,48.25
263,35,47,30,48,40.00
264,52,37,53,102,61.00
265,96,93,57,88,83.50
266,7,94,43,65,52.25
267,53,117,92,48,77.50
268,101,36,86,51,68.50
269,28,75,59,45,51.75
270,36,42,39,10,31.75
271,70,52,2,62,46.50
272,82,47,87,69,71.25
273,40,85,55,48,57.00
274,73,102,102,112,97.25
275,64,115,74,80,83.25
276,74,65,30,51,55.00
277,65,74,78,76,73.25
278,12,10,49,49,30.00
279,74,88,98,79,84.75
280,114,79,89,127,102.25
281,51,55,96,83,71.25
282,102,109,86,71,92.00
283,72,88,106,71,84.25
284,71,56,25,40,48.00
285,56,24,100,66,61.50
286,61,2,3,37,25.75
287,106,80,89,69,86.00
288,77,105,88,69,84.75
289,48,56,109,81,73.50
290,121,85,78,46,82.50
291,90,59,78,54,70.25
292,67,95,79,58,74.75
293,92,69,80,82,80.75
294,108,65,101,88,90.50
295,43,110,49,83,71.25
296,63,78,73,103,79.25
297,74,88,70,86,79.50
298,31,72,99,67,67.25
299,89,95,116,80,95.00
300,31,0,72,61,41.00
301,54,6,76,57,48.25
302,32,7,52,76,41.75
303,53,59,77,68,64.25
304,54,45,64,2,41.25
305,105,11,99,90,76.25
306,121,82,96,75,93.50
307,47,61,17,70,48.75
308,80,73,58,100,77.75
309,68,91,87,95,85.25
310,62,59,99,92,78.00
311,96,98,77,55,81.50
312,73,92,59,90,78.50
313,71,62,80,55,67.00
314,66,93,67,73,74.75
315,69,83,94,66,78.00
316,30,94,31,85,60.00
317,68,68,71,77,71.00
318,79,114,88,131,103.00
319,59,35,66,50,52.50
320,83,80,67,59,72.25
321,106,79,79,73,84.25
322,70,85,64,52,67.75
323,99,100,62,73,83.50
324,87,80,58,65,72.50
325,91,77,65,42,68.75
326,57,113,104,127,100.25
327,81,103,110,109,100.75
328,44,15,84,40,45.75
329,114,49,83,40,71.50
330,66,72,84,76,74.50
331,71,68,93,61,73.25
332,61,17,27,2,26.75
333,35,40,2,49,31.50
334,111,95,70,107,95.75
335,100,88,97,89,93.50
336,72,87,73,58,72.50
337,79,69,83,72,75.75
338,67,72,92,85,79.00
339,82,37,75,80,68.50
340,74,50,53,52,57.25
341,48,49,40,96,58.25
342,52,27,41,5,31.25
343,50,6,72,51,44.75
344,108,89,115,107,104.75
345,50,78,113,62,75.75
346,111,80,56,83,82.50
347,75,42,93,76,71.50
348,101,103,67,71,85.50
349,63,65,40,46,53.50
350,41,61,29,51,45.50
351,72,83,52,76,70.75
352,74,83,53,70,70.00
353,54,44,15,28,35.25
354,57,78,58,4,49.25
355,94,65,80,72,77.75
356,33,59,49,56,49.25
357,30,40,52,59,45.25
358,101,75,55,120,87.75
359,84,65,52,96,74.25
360,55,70,43,65,58.25
361,120,59,53,48,70.00
362,51,103,111,62,81.75
363,71,13,58,53,48.75
364,45,6,53,43,36.75
365,85,98,100,51,83.50
366,82,93,95,100,92.50
367,72,57,84,54,66.75
368,97,93,72,94,89.00
369,57,47,78,42,56.00
370,54,59,0,32,36.25
371,29,33,73,68,50.75
372,64,60,71,72,66.75
373,46,55,5,29,33.75
374,82,93,5,24,51.00
375,35,63,101,32,57.75
376,83,35,44,65,56.75
377,45,66,33,77,55.25
378,65,37,30,36,42.00
379,73,86,92,64,78.75
380,52,47,56,48,50.75
381,85,49,61,20,53.75
382,107,62,78,111,89.50
383,92,88,66,89,83.75
384,24,88,77,37,56.50
385,100,74,90,60,81.00
386,60,53,59,40,53.00
387,71,54,86,41,63.00
388,35,65,43,48,47.75
389,61,46,77,94,69.50
390,87,37,52,88,66.00
391,89,61,106,53,77.25
392,41,83,101,129,88.50
393,55,90,71,76,73.00
394,80,80,49,99,77.00
395,59,64,61,59,60.75
396,69,96,72,112,87.25
397,95,100,75,79,87.25
398,66,92,101,109,92.00
399,110,99,77,96,95.50
400,52,10,74,77,53.25
401,33,110,129,83,88.75
402,48,70,39,71,57.00
403,3,64,33,50,37.50
404,74,66,85,135,90.00
405,62,68,46,9,46.25
406,73,81,105,59,79.50
407,68,116,103,66,88.25
408,82,61,32,71,61.50
409,46,98,95,94,83.25
410,78,62,112,54,76.50
411,94,87,57,65,75.75
412,70,96,85,75,81.50
413,114,104,75,61,88.50
414,51,75,67,79,68.00
415,61,94,111,76,85.50
416,79,45,70,83,69.25
417,99,83,58,62,75.50
418,48,46,59,59,53.00
419,25,26,65,21,34.25
420,62,62,58,84,66.50
421,122,88,75,73,89.50
422,65,5,150,66,71.50
423,34,42,51,80,51.75
424,59,42,88,49,59.50
425,82,75,77,83,79.25
426,69,55,54,80,64.50
427,56,101,0,84,60.25
428,62,77,74,101,78.50
429,21,38,86,51,49.00
430,78,94,91,84,86.75
431,85,92,93,67,84.25
432,23,70,6,68,41.75
433,76,70,79,48,68.25
434,19,46,36,36,34.25
435,95,82,125,100,100.50
436,60,59,75,28,55.50
437,73,118,85,69,86.25
438,88,99,43,112,85.50
439,81,91,111,77,90.00
440,15,48,49,83,48.75
441,82,69,82,74,76.75
442,84,54,52,33,55.75
443,76,93,70,72,77.75
444,81,54,71,72,69.50
445,71,67,77,86,75.25
446,100,7,56,94,64.25
447,113,74,83,82,88.00
448,61,68,53,65,61.75
449,58,57,77,39,57.75
450,73,34,76,63,61.50
451,69,87,81,85,80.50
452,73,99,116,88,94.00
453,62,36,74,101,68.25
454,107,95,90,68,90.00
455,63,76,68,72,69.75
456,95,96,92,92,93.75
457,79,3,57,40,44.75
458,76,60,87,71,73.50
459,26,51,77,73,56.75
460,34,47,61,28,42.50
461,75,5,29,65,43.50
462,69,82,104,65,80.00
463,93,41,44,51,57.25
464,76,39,95,46,64.00
465,2,72,47,89,52.50
466,133,91,129,98,112.75
467,81,52,76,95,76.00
468,4,72,57,66,49.75
469,31,45,78,38,48.00
470,83,107,92,94,94.00
471,44,105,73,94,79.00
472,77,24,85,65,62.75
473,70,53,102,72,74.25
474,96,29,52,19,49.00
475,44,61,76,36,54.25
476,43,73,64,89,67.25
477,95,59,60,87,75.25
478,42,42,51,96,57.75
479,60,111,89,75,83.75
480,49,65,75,96,71.25
481,74,92,96,84,86.50
482,91,41,55,65,63.00
483,60,65,57,101,70.75
484,56,76,72,76,70.00
485,56,57,88,85,71.50
486,96,69,76,111,88.00
487,54,45,55,54,52.00
488,89,74,95,125,95.75
489,41,56,116,120,83.25
490,58,38,86,95,69.25
491,106,80,88,100,93.50
492,91,87,71,3,63.00
493,41,13,65,107,56.50
494,82,94,65,54,73.75
495,63,75,57,59,63.50
496,48,76,72,88,71.00
497,97,89,104,117,101.75
498,53,83,72,51,64.75
499,91,88,48,68,73.75
