seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3,elapsed_us
115,93,131,101,123,112.00,20,22,11,19,3,14,6,11,10,7,6,8,221406
116,107,125,97,134,115.75,18,18,18,12,6,20,23,0,4,4,1,0,412073
117,111,108,111,128,114.50,13,18,22,18,9,3,84,9,8,7,12,5,158439
118,116,135,122,107,120.00,22,21,22,14,11,22,26,1,11,8,5,10,237232
119,135,109,142,121,126.75,13,16,23,17,6,5,47,10,5,5,8,1,195355
120,128,129,124,112,123.25,22,17,19,21,25,8,13,5,11,4,5,12,231228
121,125,117,115,124,120.25,10,17,23,16,2,23,41,4,3,6,7,6,268178
122,112,143,149,129,133.25,18,17,21,20,23,16,14,5,3,7,8,12,173774
123,116,120,136,122,123.50,9,17,21,21,1,12,32,31,2,7,4,5,181460
124,95,116,119,119,112.25,6,16,21,19,31,1,25,5,-1,5,5,-2,313401
125,99,132,132,120,120.75,18,25,18,20,26,36,2,22,2,12,8,4,280377
126,130,141,99,127,124.25,25,16,17,12,45,1,7,16,9,8,4,1,217765
127,140,125,103,107,118.75,20,22,18,17,28,14,13,4,12,10,4,4,216291
128,96,112,113,111,108.00,20,20,13,13,20,4,7,14,4,9,-1,9,189382
129,125,124,156,126,132.75,13,22,22,22,3,4,10,36,4,8,12,11,159372
130,113,126,151,111,125.25,21,3,22,13,12,16,14,12,-4,2,12,2,306550
131,128,101,124,141,123.50,19,18,22,11,5,5,17,10,0,1,7,8,208264
132,109,137,106,125,119.25,1,25,16,21,15,54,40,12,1,13,5,7,285517
133,140,123,120,103,121.50,19,16,16,23,3,25,2,30,10,10,8,-2,141917
134,143,112,139,99,123.25,4,14,22,23,3,17,25,13,7,5,5,8,180972
135,117,123,107,109,114.00,20,19,17,11,9,26,11,13,5,4,3,6,175973
136,121,100,139,82,110.50,24,16,17,7,34,53,17,4,13,8,3,1,152219
137,118,125,109,118,117.50,18,21,16,15,41,21,13,10,3,2,9,2,251468
138,134,118,110,135,124.25,18,21,3,24,15,19,8,24,6,3,5,11,228785
139,124,123,112,106,116.25,15,22,22,9,12,11,35,2,1,5,9,4,243699
140,113,119,117,133,120.50,2,22,20,21,3,41,23,22,3,12,6,8,288749
141,104,104,128,118,113.50,19,12,24,13,4,3,34,12,5,-1,7,1,250979
142,116,98,117,133,116.00,17,12,14,17,50,10,10,9,2,4,5,5,216180
143,106,106,125,110,111.75,12,19,19,18,1,18,1,23,1,4,8,7,328565
144,136,127,120,116,124.75,23,16,21,12,31,22,49,6,8,9,10,4,208351
145,104,122,142,110,119.50,7,20,24,12,1,21,35,15,4,7,8,4,209853
146,136,105,135,118,123.50,21,-2,21,22,28,3,28,8,8,4,1,5,275271
147,143,135,107,112,124.25,18,21,16,23,13,26,15,76,8,11,8,11,231008
148,119,113,112,124,117.00,16,21,24,15,8,14,32,1,6,12,10,2,195254
149,115,113,102,129,114.75,11,17,21,21,2,32,16,23,4,6,4,10,200389
150,110,136,131,101,119.50,14,9,24,8,13,7,28,4,0,5,5,-2,219535
151,116,115,130,108,117.25,19,17,18,17,15,9,17,27,8,7,2,4,333161
152,104,132,125,95,114.00,19,15,16,20,10,19,9,18,3,5,6,6,170387
153,104,74,122,120,105.00,14,0,22,15,2,13,11,0,4,-6,9,0,219804
154,122,107,101,142,118.00,19,9,21,21,12,4,15,20,5,4,9,8,262307
155,103,140,94,115,113.00,16,17,13,15,9,4,13,1,2,2,-2,6,235366
156,122,106,114,130,118.00,15,20,14,22,10,10,12,18,10,5,4,5,262880
157,116,110,107,138,117.75,21,21,18,20,24,30,1,6,8,11,3,4,274008
158,127,117,116,138,124.50,15,9,18,22,9,17,1,10,-3,1,4,4,271666
159,135,119,97,136,121.75,24,18,11,16,64,5,18,17,3,5,6,1,223290
160,136,142,133,128,134.75,12,23,17,20,23,17,39,14,5,7,4,8,242220
161,94,123,114,125,114.00,16,15,18,14,18,4,31,14,-5,4,2,1,250767
162,123,124,98,124,117.25,19,6,16,23,9,10,23,33,7,-2,7,4,262236
163,117,121,110,125,118.25,20,6,17,18,35,1,16,13,8,8,1,1,210249
164,122,122,138,115,124.25,18,24,2,19,12,40,12,30,9,8,3,5,239070
165,132,101,104,126,115.75,19,12,16,22,28,4,14,1,4,3,3,8,178318
166,72,107,126,132,109.25,12,13,21,7,7,21,38,2,5,6,1,5,265800
167,90,127,134,126,119.25,17,13,14,27,34,6,3,73,5,3,2,12,146452
168,129,139,90,124,120.50,23,16,17,19,27,14,1,2,10,7,12,4,161257
169,118,121,106,105,112.50,14,22,18,15,8,19,10,24,4,6,4,-2,174389
170,134,105,140,133,128.00,24,5,13,25,46,5,5,23,8,-2,7,12,155619
171,151,126,121,103,125.25,17,17,14,6,3,46,4,38,5,6,4,2,147125
172,130,99,115,125,117.25,15,14,3,13,56,1,17,28,-1,1,-1,4,128587
173,130,128,109,130,124.25,15,26,17,16,13,40,26,1,9,10,7,7,177306
174,90,103,120,126,109.75,2,13,22,21,20,11,47,14,-5,2,5,10,147829
175,115,89,127,94,106.25,17,9,8,21,25,17,2,26,4,2,5,4,222667
176,119,101,133,121,118.50,24,20,16,17,3,20,13,3,9,6,6,6,222720
177,132,122,115,136,126.25,13,20,22,22,1,16,3,40,5,9,10,9,191669
178,98,136,95,121,112.50,18,19,13,15,36,35,1,1,6,3,1,2,233021
179,87,110,132,116,111.25,7,20,20,23,1,24,23,18,-2,2,11,11,178294
180,106,119,118,148,122.75,12,24,19,18,12,29,3,4,9,8,9,8,209319
181,104,133,137,117,122.75,18,21,16,16,14,11,11,4,10,7,3,4,242642
182,124,105,121,113,115.75,19,10,18,19,0,3,5,16,2,4,7,8,283829
183,122,134,12,125,98.25,19,19,-9,21,30,17,0,26,8,7,-6,6,214838
184,97,103,124,114,109.50,17,20,12,15,12,25,13,28,5,-2,5,5,186262
185,138,98,123,123,120.50,25,14,18,14,41,4,18,6,12,5,5,5,233567
186,130,120,125,99,118.50,17,20,19,16,8,17,14,9,1,4,5,4,212640
187,125,125,134,128,128.00,16,20,19,17,2,18,12,15,6,7,6,9,238649
188,90,123,124,132,117.25,18,14,20,22,18,10,6,14,-3,4,10,9,232791
189,117,116,114,108,113.75,22,18,13,14,40,19,13,13,11,5,4,5,170403
190,115,104,131,133,120.75,18,19,19,18,2,9,22,12,8,3,7,3,272117
191,109,99,153,134,123.75,18,12,21,23,8,11,35,14,6,4,5,9,253444
192,133,119,125,121,124.50,15,11,19,20,24,19,20,14,3,4,5,0,263178
193,120,112,108,124,116.00,16,19,17,19,16,32,13,13,8,10,6,4,211260
194,111,118,98,121,112.00,10,19,21,19,1,20,17,3,4,10,3,9,266841
195,127,114,133,97,117.75,20,15,13,17,22,20,13,36,8,6,8,2,224480
196,96,109,137,129,117.75,9,21,18,19,11,9,40,33,1,3,8,7,282356
197,138,118,120,99,118.75,23,22,7,10,34,24,9,21,10,3,7,4,269634
198,126,118,110,110,116.00,13,20,20,16,13,20,13,11,9,1,5,4,199100
199,112,132,131,102,119.25,11,24,15,18,27,43,5,37,1,9,8,-1,221838
200,113,134,98,109,113.50,11,22,8,22,5,33,1,56,4,10,6,7,239453
201,85,115,121,115,109.00,-2,22,9,23,7,25,9,80,6,7,5,14,147017
202,126,129,124,113,123.00,7,20,22,22,0,11,36,21,3,11,8,10,201564
203,121,124,118,129,123.00,21,16,20,16,32,4,43,18,6,11,8,4,162878
204,132,97,100,127,114.00,19,18,17,11,22,32,12,5,2,2,-2,10,303858
205,102,148,133,116,124.75,17,15,10,19,45,8,9,11,2,5,6,4,236052
206,121,82,117,148,117.00,19,13,19,20,29,14,13,2,4,0,9,5,195877
207,113,128,120,113,118.50,21,8,22,18,36,10,32,21,9,5,10,3,278086
208,117,137,107,119,120.00,23,16,17,18,22,23,8,3,9,10,7,7,207352
209,117,123,130,128,124.50,16,20,17,23,7,33,7,20,7,10,8,11,232528
210,124,128,117,118,121.75,23,15,10,19,36,12,10,53,7,4,5,5,206743
211,132,113,124,146,128.75,17,20,10,20,8,25,7,18,8,7,4,6,235772
212,113,133,133,130,127.25,21,22,18,13,29,23,20,2,5,11,9,4,229257
213,101,119,102,135,114.25,13,22,20,17,25,29,9,19,6,3,5,7,209261
214,143,133,130,113,129.75,23,17,23,14,16,13,22,6,10,3,6,2,227855
215,114,123,129,146,128.00,21,11,21,21,11,5,20,9,4,8,6,7,224689
216,141,111,119,129,125.00,22,18,22,17,23,5,24,0,11,8,11,7,254168
217,147,121,119,116,125.75,12,18,19,17,1,15,0,18,7,7,8,1,355977
218,106,125,104,99,108.50,9,17,22,1,1,17,60,4,5,4,3,6,300880
219,127,121,94,131,118.25,23,10,14,12,9,18,2,41,9,5,-1,5,290696
220,135,110,148,94,121.75,20,16,21,12,7,0,15,12,11,0,9,-5,272867
221,132,121,157,127,134.25,23,8,23,23,39,26,24,65,14,3,12,10,236345
222,111,130,102,130,118.25,19,9,21,17,20,15,29,16,2,8,6,3,246783
223,125,121,113,125,121.00,21,22,11,21,43,29,25,30,13,9,4,9,167002
224,120,142,128,108,124.50,19,11,22,19,8,6,13,23,4,4,9,4,193830
225,121,135,123,112,122.75,4,17,20,19,13,13,19,46,-4,9,3,2,192344
226,140,129,112,99,120.00,24,15,15,19,24,12,9,36,12,7,7,10,161532
227,109,121,120,105,113.75,2,21,22,14,16,42,19,10,-1,6,5,7,298892
228,108,129,112,110,114.75,6,22,9,19,1,20,5,7,1,3,-4,-1,228934
229,107,134,89,115,111.25,13,17,22,22,0,19,32,37,-1,2,6,14,179812
230,125,109,109,118,115.25,17,18,21,8,21,13,15,18,-1,6,9,6,224271
231,121,124,126,146,129.25,20,15,23,10,11,38,14,5,6,6,9,7,133264
232,131,128,119,110,122.00,19,21,23,22,33,7,30,16,11,11,10,11,174786
233,113,128,89,134,116.00,4,24,17,16,17,33,5,14,6,13,2,5,218203
234,118,119,115,120,118.00,19,20,17,2,29,21,6,13,5,8,6,0,262418
235,130,119,120,102,117.75,10,17,23,16,2,6,15,9,7,-1,10,1,254269
236,114,96,95,143,112.00,23,20,2,17,23,12,8,12,1,10,-2,1,302515
237,121,122,114,129,121.50,14,19,20,21,2,10,17,10,8,4,4,10,337418
238,123,112,116,116,116.75,13,17,18,16,18,6,0,4,7,1,8,3,266484
239,143,121,134,108,126.50,15,20,24,12,11,8,14,25,9,7,11,0,200642
240,115,101,127,131,118.50,17,9,22,16,9,21,49,0,6,3,3,5,239888
241,118,129,115,113,118.75,11,18,20,20,23,8,30,42,6,8,9,8,169797
242,115,137,130,117,124.75,18,13,21,21,11,8,16,13,5,7,7,6,284489
243,126,93,124,117,115.00,23,8,21,12,13,8,47,6,12,-2,5,2,178485
244,124,154,127,124,132.25,20,11,20,16,57,5,7,10,7,4,5,-5,227849
245,114,135,107,122,119.50,19,18,18,18,22,29,23,14,10,4,5,7,309734
246,114,117,131,128,122.50,24,20,16,8,59,12,6,0,7,5,9,5,253357
247,154,126,109,127,129.00,23,19,19,17,18,10,11,29,11,8,2,8,317093
248,127,126,139,148,135.00,20,19,14,21,14,17,8,23,9,0,3,9,184066
249,121,113,143,120,124.25,7,24,20,17,22,75,31,24,4,11,3,4,230705
250,127,106,116,126,118.75,22,12,19,21,28,2,38,21,9,4,6,1,272270
251,144,114,113,127,124.50,25,18,14,21,45,19,22,29,13,-2,6,12,306563
252,108,112,94,101,103.75,22,10,6,14,24,14,6,31,2,1,2,4,225386
253,107,105,126,132,117.50,17,18,20,23,11,4,15,21,10,5,8,9,227077
254,118,139,131,111,124.75,6,20,19,26,0,6,16,56,1,11,3,6,346110
255,112,108,99,142,115.25,13,15,18,18,6,3,26,13,0,1,1,8,394732
256,137,108,121,130,124.00,22,14,15,24,12,30,12,33,9,-2,4,12,318717
257,153,113,107,141,128.50,9,20,16,28,2,24,0,74,4,3,11,13,195163
258,133,122,120,104,119.75,20,23,4,12,26,17,27,0,6,-1,6,3,237924
259,104,124,145,101,118.50,17,17,18,16,30,8,25,10,1,3,5,3,264968
260,114,138,116,105,118.25,20,13,17,17,20,3,6,28,8,6,1,1,193632
261,130,114,109,151,126.00,23,21,7,19,19,14,27,21,7,11,6,7,213767
262,104,129,127,110,117.50,20,15,18,21,36,13,4,38,10,8,6,4,176305
263,128,146,77,119,117.50,23,20,3,21,37,25,0,44,9,11,1,4,201624
264,105,99,122,115,110.25,17,13,12,15,9,7,0,1,1,6,6,1,270205
265,136,100,114,132,120.50,24,17,11,16,39,15,5,21,8,4,2,6,212151
266,135,108,111,127,120.25,15,21,6,20,13,26,4,18,8,10,2,2,214973
267,105,118,133,110,116.50,20,4,21,22,10,17,26,29,2,0,12,11,241419
268,126,103,130,116,118.75,18,18,10,23,19,9,2,47,9,1,5,4,367190
269,95,120,116,134,116.25,13,18,18,21,0,38,2,13,5,7,4,4,249676
270,134,144,96,113,121.75,18,12,21,21,13,20,29,3,11,7,4,5,262476
271,134,124,124,105,121.75,15,25,18,12,1,47,2,1,4,5,11,2,281105
272,122,120,109,100,112.75,17,23,17,16,14,41,7,15,9,4,4,5,187983
273,135,106,123,134,124.50,17,17,22,15,0,3,8,8,6,3,7,8,195935
274,130,145,97,123,123.75,22,18,20,19,11,1,14,13,10,11,10,9,260020
275,137,118,120,144,129.75,22,20,23,16,16,3,38,7,9,3,13,6,211105
276,112,152,120,125,127.25,19,20,-2,21,14,29,22,26,6,7,2,6,186170
277,86,74,120,89,92.25,17,6,15,15,5,3,15,4,5,-6,6,1,183745
278,114,130,111,119,118.50,21,18,12,17,2,4,0,3,10,7,5,4,247325
279,116,107,138,106,116.75,-3,21,22,24,20,33,38,24,5,5,8,6,272187
280,133,87,135,106,115.25,22,6,16,24,28,3,1,44,9,0,4,11,211419
281,105,119,108,103,108.75,17,22,17,8,5,41,13,2,5,4,6,7,247077
282,111,119,127,134,122.75,7,14,24,18,0,18,46,15,2,6,7,2,185324
283,131,117,88,123,114.75,19,21,16,16,10,31,6,3,6,12,5,8,229439
284,116,133,114,98,115.25,18,11,11,19,6,1,2,19,-2,3,6,1,241346
285,135,119,117,128,124.75,23,15,23,11,27,11,35,3,12,-1,6,4,234753
286,153,111,117,117,124.50,27,7,20,6,82,2,13,0,12,0,9,3,246324
287,126,119,138,125,127.00,14,18,19,21,3,9,12,30,6,5,6,8,225036
288,121,122,108,147,124.50,12,19,21,15,10,21,18,0,5,8,6,4,242503
289,128,137,113,121,124.75,19,12,11,22,22,17,3,13,-2,3,3,13,246795
290,127,119,135,97,119.50,19,18,21,16,12,21,15,29,9,9,3,3,255225
291,112,83,141,115,112.75,13,12,24,12,5,1,49,21,3,4,7,5,222848
292,125,119,110,132,121.50,18,21,15,22,7,22,6,26,10,13,2,6,178107
293,119,134,75,115,110.75,25,21,-6,20,41,10,0,11,9,9,3,-4,200168
294,112,107,143,111,118.25,18,19,23,18,25,12,19,11,0,3,12,5,183722
295,113,126,117,141,124.25,9,21,21,20,9,14,47,7,4,11,6,3,177866
296,127,130,114,110,120.25,14,23,22,18,13,29,41,29,6,12,11,1,230770
297,117,119,111,112,114.75,20,17,9,19,6,15,5,13,11,6,4,-1,241145
298,103,113,96,119,107.75,21,15,17,15,12,8,8,12,11,5,-5,4,317988
299,115,114,110,105,111.00,21,6,16,10,32,1,31,6,6,2,-2,4,297867
300,119,103,103,132,114.25,14,18,17,24,8,1,27,4,6,7,4,10,259688
301,123,122,136,116,124.25,18,23,17,20,16,46,15,16,5,12,7,10,188324
302,145,138,108,120,127.75,22,16,19,14,17,27,18,5,9,5,6,7,203141
303,119,121,96,120,114.00,23,15,7,20,27,1,2,3,4,5,2,9,247350
304,146,99,115,115,118.75,21,19,17,20,28,7,5,32,6,5,6,7,259709
305,127,91,108,130,114.00,21,16,13,15,7,15,21,5,10,-5,2,6,216342
306,117,99,119,137,118.00,22,17,17,13,12,30,10,7,10,2,7,5,245202
307,134,95,107,126,115.50,20,15,11,21,13,5,5,12,10,2,8,10,332839
308,116,122,94,133,116.25,18,21,11,20,19,19,1,33,4,8,4,6,197007
309,97,118,162,117,123.50,11,17,20,14,11,22,15,30,3,8,4,-2,362693
310,127,139,118,119,125.75,19,14,9,18,22,6,51,27,9,4,5,1,220800
311,122,122,119,131,123.50,22,23,7,13,14,64,5,9,5,6,4,4,296849
312,126,134,88,107,113.75,5,15,13,21,2,26,9,32,3,7,0,6,235447
313,118,104,111,101,108.50,12,15,22,20,1,4,45,25,5,1,9,2,189702
314,120,121,99,122,115.50,15,18,13,13,12,34,12,2,7,4,4,7,270954
315,113,110,118,134,118.75,3,24,22,11,9,38,67,7,-5,7,4,6,310459
316,150,116,111,117,123.50,16,23,22,16,15,26,22,24,6,11,9,3,330059
317,117,146,127,125,128.75,22,21,14,18,26,35,2,6,8,9,5,7,323175
318,120,104,91,125,110.00,15,16,16,19,7,2,4,17,7,-1,4,3,312500
319,108,137,130,122,124.25,16,22,17,17,50,34,11,14,4,13,8,2,192258
320,121,110,138,134,125.75,16,22,13,17,4,21,2,7,5,5,7,7,180224
321,126,108,118,117,117.25,12,19,22,22,2,13,34,26,-1,6,8,6,208004
322,146,131,124,113,128.50,20,20,15,14,20,31,14,15,8,7,4,4,276301
323,138,134,116,114,125.50,24,14,17,10,34,5,2,7,10,7,8,5,133279
324,110,111,108,138,116.75,22,-4,19,20,33,1,12,17,11,2,6,3,200441
325,115,115,90,132,113.00,23,12,16,19,21,1,12,0,11,3,2,12,210506
326,128,125,133,112,124.50,12,19,19,18,5,15,25,20,6,5,5,6,166429
327,111,110,118,128,116.75,7,13,18,22,26,2,15,30,5,1,7,8,243552
328,139,134,119,131,130.75,24,21,19,18,12,18,8,6,13,6,11,2,278356
329,104,111,111,109,108.75,18,14,21,3,20,7,38,22,0,3,4,4,218932
330,101,101,116,142,115.00,22,15,20,15,23,7,17,1,7,8,10,-2,232978
331,107,126,138,116,121.75,18,21,20,17,10,12,9,3,5,6,8,5,224469
332,124,130,116,119,122.25,12,18,23,21,9,10,5,10,7,7,10,4,186424
333,112,101,102,118,108.25,18,9,1,19,19,1,1,2,-2,-1,5,-1,235316
334,123,92,110,121,111.50,12,16,17,21,2,1,4,31,1,9,5,4,167397
335,114,118,118,119,117.25,21,19,6,18,17,14,3,6,5,-2,2,10,207108
