seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3,elapsed_us
0,133,105,121,140,124.75,19,17,13,25,24,23,12,36,8,2,7,10,337888
1,123,132,117,132,126.00,12,21,10,21,1,30,1,31,3,7,5,7,268986
2,121,131,126,110,122.00,21,24,20,13,28,51,15,7,7,10,6,4,180185
3,108,109,134,137,122.00,20,13,18,21,32,11,8,28,5,4,5,5,201313
4,136,116,121,98,117.75,14,17,21,7,4,31,16,21,8,4,10,1,175578
5,110,128,124,108,117.50,10,21,21,15,3,34,29,1,3,6,7,1,254358
6,120,104,127,111,115.50,18,17,19,20,10,6,26,8,5,1,10,5,222797
7,116,101,94,126,109.25,11,16,14,17,11,31,39,21,2,5,2,5,237707
8,110,103,138,124,118.75,21,17,11,16,28,20,13,10,7,6,2,9,182701
9,125,114,129,110,119.50,21,22,8,11,18,34,0,9,7,4,7,5,225047
10,126,97,140,153,129.00,23,12,21,24,24,4,15,28,10,4,8,10,207380
11,118,114,136,110,119.50,17,20,23,14,9,21,39,15,5,9,9,4,202990
12,130,108,137,131,126.50,22,22,12,19,18,23,0,5,12,10,2,4,189668
13,135,106,111,133,121.25,23,20,19,15,85,22,40,6,12,9,11,4,158532
14,115,138,118,102,118.25,18,14,21,15,22,19,19,6,9,3,2,10,194484
15,111,101,133,146,122.75,25,11,13,23,42,5,11,14,8,4,5,11,225120
16,119,138,114,140,127.75,6,19,21,23,16,22,20,33,4,10,4,8,273965
17,105,95,133,110,110.75,4,10,20,22,15,11,28,26,4,4,5,7,252176
18,109,105,121,158,123.25,19,18,9,21,13,4,11,47,8,7,2,9,225757
19,112,122,121,118,118.25,11,21,9,23,2,13,9,42,5,4,0,7,321237
20,129,140,130,123,130.50,12,24,23,4,0,23,48,0,4,7,13,2,176747
21,124,153,110,119,126.50,15,20,21,5,16,20,76,0,9,11,7,-1,206748
22,128,100,124,109,115.25,10,16,13,22,1,38,11,23,4,1,7,4,209422
23,134,113,109,121,119.25,16,21,20,19,6,29,11,24,8,4,10,5,212905
24,115,109,142,98,116.00,5,15,24,17,2,8,33,43,-2,3,4,4,288858
25,146,131,127,109,128.25,17,22,19,16,13,34,7,19,6,9,10,7,252092
26,147,112,143,116,129.50,17,8,19,22,24,2,35,28,7,2,5,3,343314
27,131,110,123,116,120.00,21,14,22,18,16,2,5,27,12,4,11,6,216797
28,122,142,112,115,122.75,16,22,14,21,14,30,1,17,7,5,3,9,192650
29,112,149,124,105,122.50,22,15,9,19,69,6,0,12,7,0,1,3,211120
30,115,124,109,124,118.00,22,10,19,21,17,3,13,18,8,2,4,7,406994
31,132,117,123,120,123.00,18,18,21,17,25,23,26,20,8,8,1,7,210891
32,126,122,124,127,124.75,12,15,15,21,9,9,7,7,5,2,7,2,323619
33,105,105,89,125,106.00,13,18,14,21,3,8,4,36,8,4,2,10,231687
34,110,95,112,102,104.75,13,18,18,20,3,20,4,5,1,1,9,4,222418
35,104,104,107,127,110.50,4,22,18,23,9,24,13,21,-2,10,3,9,261705
36,128,125,122,112,121.75,15,21,13,20,2,32,3,3,2,4,4,6,296554
37,116,116,124,120,119.00,11,22,21,12,1,18,32,14,5,11,3,-1,260123
38,130,127,132,121,127.50,9,17,21,18,5,5,18,6,3,3,5,5,292763
39,118,125,108,113,116.00,21,16,12,17,16,18,20,16,6,4,3,2,234092
40,115,119,121,137,123.00,21,18,23,13,20,3,4,1,7,5,7,2,205224
41,155,118,131,81,121.25,20,21,19,10,21,10,29,6,7,3,3,1,197799
42,113,123,109,135,120.00,17,16,17,17,3,10,25,15,6,4,5,7,208890
43,116,114,119,119,117.00,21,22,20,13,33,24,18,24,10,6,6,6,151574
44,102,105,102,114,105.75,14,19,15,22,4,16,3,14,3,2,3,13,258480
45,126,124,125,130,126.25,21,16,19,13,29,2,12,8,8,4,4,5,183565
46,122,128,113,87,112.50,21,18,11,14,45,27,22,30,10,9,4,7,181695
47,108,121,124,106,114.75,7,18,24,12,1,29,36,0,2,4,8,-5,238937
48,98,153,140,102,123.25,7,15,21,21,17,23,32,40,1,12,3,6,203394
49,129,117,111,126,120.75,6,19,19,24,1,9,9,31,-2,5,2,9,205452
50,126,111,129,114,120.00,21,21,18,17,8,21,15,3,6,6,9,5,224263
51,94,113,130,114,112.75,1,23,13,12,6,43,3,10,-1,5,7,2,200252
52,134,117,100,130,120.25,8,16,18,24,2,13,30,30,2,4,5,3,202070
53,140,131,128,111,127.50,17,14,23,20,34,19,24,28,5,5,12,7,230575
54,116,111,109,137,118.25,21,20,21,6,31,20,25,7,4,4,8,5,352257
55,91,128,100,121,110.00,8,14,22,21,6,22,17,44,4,1,6,7,250839
56,128,103,117,112,115.00,12,22,6,22,6,34,15,31,0,5,5,9,229980
57,80,120,114,113,106.75,13,11,21,19,9,1,26,36,1,4,9,3,198186
58,115,115,141,92,115.75,23,20,21,7,35,31,31,8,6,5,7,2,206002
59,124,118,118,125,121.25,18,21,16,10,9,31,5,7,4,6,5,4,153505
60,93,116,131,126,116.50,2,21,16,17,23,39,12,12,2,4,0,7,188297
61,128,136,122,103,122.25,17,19,17,18,17,18,3,14,7,6,8,4,187723
62,118,101,94,115,107.00,22,10,18,14,12,2,19,20,5,1,4,5,225837
63,116,143,124,113,124.00,19,21,20,15,18,31,18,8,7,9,5,1,255285
64,111,127,98,118,113.50,16,19,16,15,14,26,5,9,5,9,1,3,350523
65,107,114,116,120,114.25,22,18,19,20,20,12,34,21,11,9,11,10,189726
66,135,105,97,117,113.50,3,19,10,17,24,32,4,15,4,7,-1,7,277601
67,99,121,109,113,110.50,6,17,16,21,22,3,16,51,3,5,0,9,302456
68,122,125,118,98,115.75,22,18,4,17,26,16,3,4,6,5,2,2,299969
69,150,122,107,106,121.25,19,23,15,9,22,52,12,8,10,6,-1,3,199357
70,83,123,140,119,116.25,21,23,15,20,26,16,6,29,8,8,10,5,268488
71,101,138,95,117,112.75,16,20,11,15,2,12,6,19,3,7,1,5,305967
72,122,133,111,114,120.00,23,15,14,19,39,8,7,31,13,5,5,5,189974
73,98,135,121,125,119.75,17,21,13,14,15,27,4,2,6,7,7,4,252789
74,128,115,110,114,116.75,21,21,20,16,12,12,33,6,9,4,1,8,237683
75,141,131,139,126,134.25,22,15,20,23,18,6,16,19,4,10,10,11,264419
76,106,122,120,115,115.75,18,14,14,21,23,27,31,26,6,7,6,2,326350
77,101,139,134,138,128.00,12,18,18,24,4,20,24,33,5,12,6,10,177869
78,103,126,171,101,125.25,7,23,21,15,1,40,0,43,4,12,10,5,213061
79,117,117,106,133,118.25,13,18,21,20,6,18,27,23,2,1,8,11,216289
80,118,107,101,108,108.50,13,16,12,14,27,27,21,40,4,4,8,4,516644
81,128,119,116,149,128.00,22,20,16,20,18,6,8,6,11,7,-1,2,302105
82,106,109,112,163,122.50,14,24,6,21,7,29,28,31,2,9,3,12,347755
83,108,110,145,116,119.75,14,23,10,20,9,57,3,19,8,9,5,4,186069
84,127,122,133,102,121.00,18,22,22,16,8,17,45,14,11,8,11,0,215157
85,139,137,107,116,124.75,22,14,13,22,29,7,5,50,12,6,4,10,252060
86,130,110,114,113,116.75,21,19,11,12,14,36,22,32,4,8,4,7,182012
87,132,108,129,109,119.50,13,18,18,16,3,18,11,10,6,7,1,2,224236
88,128,129,122,124,125.75,18,15,21,20,12,16,5,13,8,8,10,4,171019
89,144,143,130,114,132.75,20,23,19,15,16,39,14,9,6,11,6,1,317428
90,113,120,134,104,117.75,22,13,14,17,51,5,3,23,5,4,5,5,254073
91,122,96,110,97,106.25,21,17,19,18,19,12,23,19,11,3,4,7,182621
92,101,132,117,127,119.25,12,21,15,17,5,37,3,15,5,11,2,7,214892
93,118,121,125,131,123.75,17,20,16,12,7,31,14,5,1,6,5,6,301381
94,118,86,120,114,109.50,17,10,22,13,1,5,22,0,6,-2,10,4,175541
95,145,123,119,109,124.00,21,24,17,6,36,16,23,17,12,9,8,3,297675
96,97,98,123,132,112.50,6,21,20,12,2,38,55,17,-1,4,10,8,182454
97,130,129,116,125,125.00,21,7,21,15,26,4,25,23,7,0,4,-1,290111
98,123,127,146,103,124.75,19,12,22,19,29,15,60,6,5,7,13,3,352847
99,132,124,127,121,126.00,15,22,15,15,3,10,3,21,4,9,5,4,246820
100,104,133,109,111,114.25,20,17,17,21,41,4,23,12,6,5,13,6,234564
101,134,120,128,99,120.25,14,18,22,15,5,6,24,0,2,6,8,2,282272
102,116,123,106,123,117.00,17,19,10,22,18,9,8,31,6,0,4,6,179390
103,105,120,112,109,111.50,13,13,17,18,16,11,13,8,4,3,2,-6,239963
104,142,130,114,121,126.75,9,22,22,20,0,23,32,18,6,6,5,5,257332
105,111,136,121,134,125.50,13,20,22,17,2,14,16,5,4,7,6,8,197336
106,104,112,122,118,114.00,18,21,12,18,9,28,4,15,4,6,0,3,221286
107,126,130,96,116,117.00,17,17,13,13,21,5,27,29,5,6,3,2,317165
108,125,128,137,134,131.00,23,23,16,19,24,26,10,16,10,9,12,12,258762
109,116,124,108,122,117.50,19,15,20,21,37,9,21,16,2,6,11,9,299742
110,104,116,123,102,111.25,17,22,18,1,14,55,4,14,2,7,2,2,279144
111,115,116,127,125,120.75,13,22,20,16,6,47,21,10,2,8,8,8,207933
112,137,119,157,137,137.50,12,20,21,20,15,2,0,35,5,9,11,5,236905
113,117,113,118,129,119.25,13,24,16,19,14,27,8,7,4,8,6,6,351936
114,106,87,148,110,112.75,19,16,16,15,45,17,12,10,5,4,5,9,239114
